Campeonato,ValorTotal,DiasPassados,Dia
,17654755,60,14/07/2016
,17775803,61,15/07/2016
,17854576,62,16/07/2016
,17929620,63,17/07/2016
,17998014,64,18/07/2016
,18061671,65,19/07/2016
,18122882,66,20/07/2016
,18182393,67,21/07/2016
,18247581,68,22/07/2016
,18301005,69,23/07/2016
,18359418,70,24/07/2016
,18422288,71,25/07/2016
,18705515,72,26/07/2016
,18842385,73,27/07/2016
,18978172,74,28/07/2016
,19100736,75,29/07/2016
,19197132,76,30/07/2016
,19314506,77,31/07/2016
,19483098,78,01/08/2016
,19606500,79,02/08/2016
,19708735,80,03/08/2016
,19811862,81,04/08/2016
,19931066,82,05/08/2016
,20019637,83,06/08/2016
,20095993,84,07/08/2016
,20177348,85,08/08/2016
,20259449,86,09/08/2016
,20387324,87,10/08/2016
,20526826,88,11/08/2016
,20689308,89,12/08/2016
,20770460,90,13/08/2016
The International 2015,1600000,1,01/05/2015
,3527102,2,02/05/2015
,4551752,3,03/05/2015
,5131860,4,04/05/2015
,5599591,5,05/05/2015
,5980978,6,06/05/2015
,6334299,7,07/05/2015
,6621347,8,08/05/2015
,6925868,9,09/05/2015
,7195787,10,10/05/2015
,7385511,11,11/05/2015
,7557339,12,12/05/2015
,7705689,13,13/05/2015
,7857829,14,14/05/2015
,7993835,15,15/05/2015
,8149170,16,16/05/2015
,8286128,17,17/05/2015
,8390569,18,18/05/2015
,8486207,19,19/05/2015
,8574268,20,20/05/2015
,8649109,21,21/05/2015
,8721204,22,22/05/2015
,8828932,23,23/05/2015
,8918565,24,24/05/2015
,8990314,25,25/05/2015
,9065465,26,26/05/2015
,9138751,27,27/05/2015
,9205726,28,28/05/2015
,9471543,29,29/05/2015
,9849911,30,30/05/2015
,10061310,31,31/05/2015
,10222959,32,01/06/2015
,10367032,33,02/06/2015
,10489378,34,03/06/2015
,10596326,35,04/06/2015
,11054546,36,05/06/2015
,11921890,37,06/06/2015
,12299289,38,07/06/2015
,12553290,39,08/06/2015
,12769750,40,09/06/2015
,12962955,41,10/06/2015
,13135147,42,11/06/2015
,13277064,43,12/06/2015
,13430689,44,13/06/2015
,13557865,45,14/06/2015
,13672518,46,15/06/2015
,13779775,47,16/06/2015
,13880366,48,17/06/2015
,13960703,49,18/06/2015
,14048013,50,19/06/2015
,14148485,51,20/06/2015
,14238011,52,21/06/2015
,14316457,53,22/06/2015
,14394469,54,23/06/2015
,14466326,55,24/06/2015
,14533884,56,25/06/2015
,14607065,57,26/06/2015
,14686789,58,27/06/2015
,14763389,59,28/06/2015
,14825797,60,29/06/2015
,14883965,61,30/06/2015
,14955309,62,01/07/2015
,15020846,63,02/07/2015
,15089945,64,03/07/2015
,15169886,65,04/07/2015
,15238518,66,05/07/2015
,15298512,67,06/07/2015
,15357709,68,07/07/2015
,15412737,69,08/07/2015
,15484676,70,09/07/2015
,15606609,71,10/07/2015
,15816027,72,11/07/2015
,16053167,73,12/07/2015
,16256289,74,13/07/2015
,16406367,75,14/07/2015
,16526550,76,15/07/2015
,16635519,77,16/07/2015
,16731571,78,17/07/2015
,16828179,79,18/07/2015
,16911242,80,19/07/2015
,16996918,81,20/07/2015
,17075261,82,21/07/2015
,17152848,83,22/07/2015
,17223223,84,23/07/2015
,17293282,85,24/07/2015
,17367867,86,25/07/2015
,17438375,87,26/07/2015
,17503982,88,27/07/2015
,17576223,89,28/07/2015
,17647856,90,29/07/2015
,17705500,91,30/07/2015
,17772881,92,31/07/2015
,17852049,93,01/08/2015
,17926651,94,02/08/2015
,17975449,95,03/08/2015
,18044518,96,04/08/2015
,18110958,97,05/08/2015
,18175406,98,06/08/2015
,18241095,99,07/08/2015
,18323221,100,08/08/2015
,18416970,101,09/08/2015
,18429613,102,10/08/2015
The International 2014,1600000,1,09/05/2014
,2682056,2,10/05/2014
,3412386,3,11/05/2014
,3887103,4,12/05/2014
,4359369,5,13/05/2014
,4751090,6,14/05/2014
,5032238,7,15/05/2014
,5293739,8,16/05/2014
,5556659,9,17/05/2014
,5757481,10,18/05/2014
,5920247,11,19/05/2014
,6077071,12,20/05/2014
,6237971,13,21/05/2014
,6362555,14,22/05/2014
,6491085,15,23/05/2014
,6626895,16,24/05/2014
,6730669,17,25/05/2014
,6829365,18,26/05/2014
,6916236,19,27/05/2014
,6993768,20,28/05/2014
,7072585,21,29/05/2014
,7149563,22,30/05/2014
,7820603,23,31/05/2014
,8108294,24,01/06/2014
,8311263,25,02/06/2014
,8480723,26,03/06/2014
,8613332,27,04/06/2014
,8729162,28,05/06/2014
,8848570,29,06/06/2014
,8945598,30,07/06/2014
,9042588,31,08/06/2014
,9128411,32,09/06/2014
,9210967,33,10/06/2014
,9287343,34,11/06/2014
,9345867,35,12/06/2014
,9408750,36,13/06/2014
,9479952,37,14/06/2014
,9539580,38,15/06/2014
,9593305,39,16/06/2014
,9605399,40,17/06/2014
,9649285,41,18/06/2014
,9694440,42,19/06/2014
,9744198,43,20/06/2014
,9795226,44,21/06/2014
,9840480,45,22/06/2014
,9880467,46,23/06/2014
,9916212,47,24/06/2014
,9951433,48,25/06/2014
,9983165,49,26/06/2014
,10019255,50,27/06/2014
,10059037,51,28/06/2014
,10095225,52,29/06/2014
,10124692,53,30/06/2014
,10202874,54,01/07/2014
,10252018,55,02/07/2014
,10294087,56,03/07/2014
,10355167,57,04/07/2014
,10403840,58,05/07/2014
,10445503,59,06/07/2014
,10482631,60,07/07/2014
,10525420,61,08/07/2014
,10566884,62,09/07/2014
,10604889,63,10/07/2014
,10645383,64,11/07/2014
,10684610,65,12/07/2014
,10720393,66,13/07/2014
,10748667,67,14/07/2014
,10780082,68,15/07/2014
,10807186,69,16/07/2014
,10829017,70,17/07/2014
,10858302,71,18/07/2014
,10889695,72,19/07/2014
,10922374,73,20/07/2014
,10931105,74,21/07/2014
